OBJECTID,Naziv_staj,Linije,Opis,Napomena,RBR_GC_2,MBR_GC,IME_GC,IME_GO,IME_ZUPANI,SIFRA_PJ,sjediste_G,Shape_Leng,Shape_Area
"675",K.Brijegi - IIIodvojak - istok,"161",smjer Savski most,15.876197000000047 45.67959599900007,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"676",K.Brijegi - IIIodvojak - zapad,"161",smjer ©trpet,15.875662000000034 45.67909999900007,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"677",K.Brijegi - VI odvojak - istok,"161",smjer Savski most,15.874234000000058 45.67582499900004,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"678",K.Brijegi - VI odvojak - zapad,"161",smjer ©trpet,15.874070000000074 45.67506499900003,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"739",Klanjec - istok,"132",smjer Savski most,15.883968001000028 45.73165699900005,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"740",Klanjec - zapad,"132",smjer Brezovica,15.883463000000063 45.73236699900008,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"759",Komari - ulaz\izlaz linija 164,"164",okreti¹te Komari,15.78350000000006 45.70038799900004,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"784",Kralj. Brijegi - Lojeni - istok,"161",smjer Savski most,15.871144000000072 45.66440799900005,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"785",Kralj. Brijegi - Lojeni - zapad,"161",smjer ©trpet,15.87090100000006 45.66409499900004,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"786",Kralj. Brijegi - Starjak - istok,"161",smjer Savski most,15.871434000000022 45.66017399900005,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"787",Kralj. Brijegi - Starjak - zapad,"161",smjer ©trpet,15.871317000000033 45.66006899900003,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"789",Kraljeveèka cesta - istok,"161,162",smjer Savski most,15.880043001000047 45.684280999000066,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"790",Kraljeveèka cesta - zapad,"161,162",smjer A¹pergeri\©trpet,15.88010999900007 45.684559999000044,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"794",Kralji - zapad,"164",smjer Komari,15.80196600000005 45.72956299900005,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"795",Kralji - istok,"164",smjer Savski most,15.801781000000062 45.72990999900003,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"812",Kup. Kraljevec-¹kola - istok,"161",smjer Savski most,15.873095000000035 45.67215999900003,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"813",Kup. Kraljevec-¹kola - zapad,"161",smjer ©trpet,15.872599000000037 45.67185099900007,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"847",Lipnica - istok,"160",smjer Savski most,15.922165999000072 45.63059899900003,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"848",Lipnica - zapad,"160,163",smjer Havidiæ Selo,15.922038000000043 45.63076199900007,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"936",Matièki - zapad,"162",smjer Savski most,15.839816001000031 45.69222999900006,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"937",Matièki - istok,"161,162",smjer A¹pergeri,15.839809001000049 45.69238799900006,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"941",Mavraèiæi - istok,"164",smjer Savski most,15.798014000000023 45.702292999000065,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"942",Mavraèiæi - zapad,"164",smjer Komari,15.798107000000073 45.70238499900006,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"972",Milaèe - jug,"162",smjer Savski most,15.845830000000035 45.682765999000026,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"974",Milekanska - Orsagi - jug,"159,160,163",smjer Odranski Obre¾,15.93148700100005 45.718075999000064,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"975",Milekanska - Orsagi - sjever,"159,160,163",smjer Savski most,15.931521000000032 45.718195999000045,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"1033",Nabre¾je - zapad,"164",smjer Komari,15.806498000000033 45.72681799900005,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"1034",Nabre¾je - istok,"164",smjer Savski most,15.806421000000057 45.72693299900004,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
